"scientific_name";"valid_name";"aphia_id";"AphiaID";"genus";"family";"order";"class";"phylum"
"Catostylus tagi";"Catostylus tagi";"135296";135296;"Catostylus";"Catostylidae";"Rhizostomeae";"Scyphozoa";"Cnidaria"
"Salpinae";"Salpinae";"720267";720267;NA;"Salpidae";"Salpida";"Thaliacea";"Chordata"
"Scyphozoa";"Scyphozoa";"135220";135220;NA;NA;NA;"Scyphozoa";"Cnidaria"
"Periphylla periphylla";"Periphylla periphylla";"135294";135294;"Periphylla";"Periphyllidae";"Coronatae";"Scyphozoa";"Cnidaria"
"Pyrosoma";"Pyrosoma";"137224";137224;"Pyrosoma";"Pyrosomatidae";"Pyrosomatida";"Thaliacea";"Chordata"
"Chrysaora hysoscella";"Chrysaora hysoscella";"135304";135304;"Chrysaora";"Pelagiidae";"Semaeostomeae";"Scyphozoa";"Cnidaria"
"Solmissus albescens";"Solmissus albescens";"117503";117503;"Solmissus";"Cuninidae";"Narcomedusae";"Hydrozoa";"Cnidaria"
"Clione";"Clione";"137793";137793;"Clione";"Clionidae";"Pteropoda";"Gastropoda";"Mollusca"
"Pleurobrachia pileus";"Pleurobrachia pileus";"106386";106386;"Pleurobrachia";"Pleurobrachiidae";"Cydippida";"Tentaculata";"Ctenophora"
"Rhizostoma octopus";"Rhizostoma octopus";"152203";152203;"Rhizostoma";"Rhizostomatidae";"Rhizostomeae";"Scyphozoa";"Cnidaria"
"Aequorea forskalea";NA;NA;NA;NA;NA;NA;NA;NA
