"scientific_name";"valid_name";"aphia_id";"AphiaID";"genus";"family";"order";"class";"phylum"
"Argyropelecus hemigymnus";"Argyropelecus hemigymnus";"127309";127309;"Argyropelecus";"Sternoptychidae";"Stomiiformes";"Actinopteri";"Chordata"
"Myliobatis aquila";"Myliobatis aquila";"105860";105860;"Myliobatis";"Myliobatidae";"Myliobatiformes";"Elasmobranchii";"Chordata"
"Solea senegalensis";"Solea senegalensis";"127159";127159;"Solea";"Soleidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Gymnammodytes semisquamatus";"Gymnammodytes semisquamatus";"126754";126754;"Gymnammodytes";"Ammodytidae";"Perciformes";"Actinopteri";"Chordata"
"Callionymus reticulatus";"Callionymus reticulatus";"126795";126795;"Callionymus";"Callionymidae";"Callionymiformes";"Actinopteri";"Chordata"
"Ctenolabrus rupestris";"Ctenolabrus rupestris";"126964";126964;"Ctenolabrus";"Labridae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Ciliata mustela";"Ciliata mustela";"126448";126448;"Ciliata";"Lotidae";"Gadiformes";"Actinopteri";"Chordata"
"Myctophiformes";"Myctophiformes";"10309";10309;NA;NA;"Myctophiformes";"Actinopteri";"Chordata"
"Diplodus sargus";"Diplodus sargus";"127053";127053;"Diplodus";"Sparidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Scyliorhinus stellaris";"Scyliorhinus stellaris";"105815";105815;"Scyliorhinus";"Scyliorhinidae";"Carcharhiniformes";"Elasmobranchii";"Chordata"
"Zeugopterus punctatus";"Zeugopterus punctatus";"127151";127151;"Zeugopterus";"Scophthalmidae";"Pleuronectiformes";"Actinopteri";"Chordata"
"Centrolabrus exoletus";"Centrolabrus exoletus";"126961";126961;"Centrolabrus";"Labridae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Raniceps raninus";"Raniceps raninus";"126442";126442;"Raniceps";"Gadidae";"Gadiformes";"Actinopteri";"Chordata"
"Pollachius virens";"Pollachius virens";"126441";126441;"Pollachius";"Gadidae";"Gadiformes";"Actinopteri";"Chordata"
"Dipturus oxyrinchus";"Dipturus oxyrinchus";"105872";105872;"Dipturus";"Rajidae";"Rajiformes";"Elasmobranchii";"Chordata"
"Argyropelecus";"Argyropelecus";"126196";126196;"Argyropelecus";"Sternoptychidae";"Stomiiformes";"Actinopteri";"Chordata"
"Centroscyllium fabricii";"Centroscyllium fabricii";"105906";105906;"Centroscyllium";"Etmopteridae";"Squaliformes";"Elasmobranchii";"Chordata"
"Hoplostethus mediterraneus mediterraneus";"Hoplostethus mediterraneus mediterraneus";"159409";159409;"Hoplostethus";"Trachichthyidae";"Trachichthyiformes";"Actinopteri";"Chordata"
"Nezumia sclerorhynchus";"Nezumia sclerorhynchus";"126475";126475;"Nezumia";"Macrouridae";"Gadiformes";"Actinopteri";"Chordata"
"Halargyreus johnsonii";"Halargyreus johnsonii";"126489";126489;"Halargyreus";"Moridae";"Gadiformes";"Actinopteri";"Chordata"
"Nerophis lumbriciformis";"Nerophis lumbriciformis";"127383";127383;"Nerophis";"Syngnathidae";"Syngnathiformes";"Actinopteri";"Chordata"
"Diaphus";"Diaphus";"125819";125819;"Diaphus";"Myctophidae";"Myctophiformes";"Actinopteri";"Chordata"
"Ophidion barbatum";"Ophidion barbatum";"126675";126675;"Ophidion";"Ophidiidae";"Ophidiiformes";"Actinopteri";"Chordata"
"Serranus scriba";"Serranus scriba";"127043";127043;"Serranus";"Serranidae";"Perciformes";"Actinopteri";"Chordata"
"Polyprion americanus";"Polyprion americanus";"126998";126998;"Polyprion";"Polyprionidae";"Acropomatiformes";"Actinopteri";"Chordata"
"Dalatias licha";"Dalatias licha";"105910";105910;"Dalatias";"Dalatiidae";"Squaliformes";"Elasmobranchii";"Chordata"
"Scorpaena porcus";"Scorpaena porcus";"127247";127247;"Scorpaena";"Scorpaenidae";"Perciformes";"Actinopteri";"Chordata"
"Arctozenus risso";"Arctozenus risso";"126352";126352;"Arctozenus";"Paralepididae";"Aulopiformes";"Actinopteri";"Chordata"
"Diplodus vulgaris";"Diplodus vulgaris";"127054";127054;"Diplodus";"Sparidae";"Eupercaria incertae sedis";"Actinopteri";"Chordata"
"Chlorophthalmus agassizi";"Chlorophthalmus agassizi";"126336";126336;"Chlorophthalmus";"Chlorophthalmidae";"Aulopiformes";"Actinopteri";"Chordata"
"Syngnathus rostellatus";"Syngnathus rostellatus";"127389";127389;"Syngnathus";"Syngnathidae";"Syngnathiformes";"Actinopteri";"Chordata"
"Hippocampus guttulatus";"Hippocampus guttulatus";"154776";154776;"Hippocampus";"Syngnathidae";"Syngnathiformes";"Actinopteri";"Chordata"
"Entelurus aequoreus";"Entelurus aequoreus";"127379";127379;"Entelurus";"Syngnathidae";"Syngnathiformes";"Actinopteri";"Chordata"
"Myxine glutinosa";"Myxine glutinosa";"101170";101170;"Myxine";"Myxinidae";"Myxiniformes";"Myxini";"Chordata"
"Liparis liparis";"Liparis liparis";"127219";127219;"Liparis";"Liparidae";"Perciformes";"Actinopteri";"Chordata"
"Pomatoschistus norvegicus";"Pomatoschistus norvegicus";"126929";126929;"Pomatoschistus";"Gobiidae";"Gobiiformes";"Actinopteri";"Chordata"
"Scorpaena notata";"Scorpaena notata";"127246";127246;"Scorpaena";"Scorpaenidae";"Perciformes";"Actinopteri";"Chordata"
"Myctophum punctatum";"Myctophum punctatum";"126627";126627;"Myctophum";"Myctophidae";"Myctophiformes";"Actinopteri";"Chordata"
"Scymnodon ringens";"Scymnodon ringens";"105918";105918;"Scymnodon";"Somniosidae";"Squaliformes";"Elasmobranchii";"Chordata"
"Pomatoschistus lozanoi";"Pomatoschistus lozanoi";"126925";126925;"Pomatoschistus";"Gobiidae";"Gobiiformes";"Actinopteri";"Chordata"
"Ammodytes marinus";"Ammodytes marinus";"126751";126751;"Ammodytes";"Ammodytidae";"Perciformes";"Actinopteri";"Chordata"
"Myctophum";"Myctophum";"125829";125829;"Myctophum";"Myctophidae";"Myctophiformes";"Actinopteri";"Chordata"
"Gobiidae";"Gobiidae";"125537";125537;NA;"Gobiidae";"Gobiiformes";"Actinopteri";"Chordata"
"Chirolophis ascanii";"Chirolophis ascanii";"127071";127071;"Chirolophis";"Stichaeidae";"Perciformes";"Actinopteri";"Chordata"
"Scorpaena";"Scorpaena";"126171";126171;"Scorpaena";"Scorpaenidae";"Perciformes";"Actinopteri";"Chordata"
"Argyropelecus aculeatus";"Argyropelecus aculeatus";"127306";127306;"Argyropelecus";"Sternoptychidae";"Stomiiformes";"Actinopteri";"Chordata"
"Ceratoscopelus maderensis";"Ceratoscopelus maderensis";"126585";126585;"Ceratoscopelus";"Myctophidae";"Myctophiformes";"Actinopteri";"Chordata"
"Hydrolagus mirabilis";"Hydrolagus mirabilis";"105826";105826;"Hydrolagus";"Chimaeridae";"Chimaeriformes";"Holocephali";"Chordata"
