"scientific_name";"valid_name";"aphia_id";"AphiaID";"genus";"family";"order";"class";"phylum"
"Chlorotocus crassicornis";"Chlorotocus crassicornis";"107642";107642;"Chlorotocus";"Pandalidae";"Decapoda";"Malacostraca";"Arthropoda"
"Benthopectinidae";"Benthopectinidae";"123126";123126;NA;"Benthopectinidae";"Notomyotida";"Asteroidea";"Echinodermata"
"Galeodea rugosa";"Galeodea rugosa";"139024";139024;"Galeodea";"Cassidae";"Littorinimorpha";"Gastropoda";"Mollusca"
"Systellaspis debilis";"Systellaspis debilis";"107605";107605;"Systellaspis";"Oplophoridae";"Decapoda";"Malacostraca";"Arthropoda"
"Serpulidae";"Serpulidae";"988";988;NA;"Serpulidae";"Sabellida";"Polychaeta";"Annelida"
"Pseudamussium clavatum";"Pseudamussium clavatum";"140716";140716;"Pseudamussium";"Pectinidae";"Pectinida";"Bivalvia";"Mollusca"
"Arcopella balaustina";"Arcopella balaustina";"491643";491643;"Arcopella";"Tellinidae";"Cardiida";"Bivalvia";"Mollusca"
"Lytocarpia myriophyllum";"Lytocarpia myriophyllum";"117302";117302;"Lytocarpia";"Aglaopheniidae";"Leptothecata";"Hydrozoa";"Cnidaria"
"Ophiocomina nigra";"Ophiocomina nigra";"125027";125027;"Ophiocomina";"Ophiotomidae";"Ophiacanthida";"Ophiuroidea";"Echinodermata"
"Timoclea ovata";"Timoclea ovata";"141929";141929;"Timoclea";"Veneridae";"Venerida";"Bivalvia";"Mollusca"
"Cidaris cidaris";"Cidaris cidaris";"124257";124257;"Cidaris";"Cidaridae";"Cidaroida";"Echinoidea";"Echinodermata"
"Nymphaster arenatus";"Nymphaster arenatus";"124048";124048;"Nymphaster";"Goniasteridae";"Valvatida";"Asteroidea";"Echinodermata"
"Sertularella";"Sertularella";"117233";117233;"Sertularella";"Sertularellidae";"Leptothecata";"Hydrozoa";"Cnidaria"
"Pentapora fascialis";"Pentapora fascialis";"111082";111082;"Pentapora";"Bitectiporidae";"Cheilostomatida";"Gymnolaemata";"Bryozoa"
"Doris pseudoargus";"Doris pseudoargus";"181228";181228;"Doris";"Dorididae";"Nudibranchia";"Gastropoda";"Mollusca"
"Sphaerechinus granularis";"Sphaerechinus granularis";"124427";124427;"Sphaerechinus";"Toxopneustidae";"Camarodonta";"Echinoidea";"Echinodermata"
